word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
yellow,red,0,r,0,9,9,13,22.06105659995228,,,,,,,,22.046899599954486,22.06105659995228,23.24582469998859,23.245905500021763,23.26051950000692,23.760800699936226,24.41191979998257,r,1,0.6446214000461623,None,23.26051950000692,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,yellow,1,y,0,10,10,1,24.427319700014777,,,,,,,,24.412957799970172,24.427319700014777,25.612533399951644,25.61257639992982,25.627089399960823,26.1270997999236,26.580143800005317,y,1,0.4491893999511376,None,25.627089399960823,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,yellow,0,y,0,11,11,4,26.59357899997849,,,,,,,,26.581677099922672,26.59357899997849,27.777695399941877,27.777722199913114,27.79352489998564,28.29346820001956,28.863238099962473,y,1,0.5665538000175729,None,27.79352489998564,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,green,1,g,0,12,12,3,28.87659569992684,,,,,,,,28.864649199997075,28.87659569992684,30.061303099966608,30.061362099950202,30.076383300009184,30.576741199940443,30.861659899936058,g,1,0.2795503999805078,None,30.076383300009184,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,blue,0,b,0,13,13,5,30.87642829993274,,,,,,,,30.862705699983053,30.87642829993274,32.061696099932306,32.06174359994475,32.07615689991508,32.57774779992178,32.84454909991473,b,1,0.26210739999078214,None,32.07615689991508,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,blue,0,b,0,14,14,15,32.85970369994175,,,,,,,,32.845372800016776,32.85970369994175,34.04455649992451,34.04459730000235,34.059246100019664,34.55957349995151,35.01135980000254,b,1,0.4348366999765858,None,34.059246100019664,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,red,0,r,0,15,15,10,35.025848699966446,,,,,,,,35.012756699929014,35.025848699966446,36.21125629998278,36.211340399924666,36.22570830001496,36.72580949997064,37.01065009995364,r,1,0.26965060003567487,None,36.22570830001496,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,yellow,0,y,1,0,16,11,37.0258619999513,,,,,,,,37.01158629998099,37.0258619999513,38.21060909994412,38.210654599941336,38.22535969992168,38.72550159995444,39.06001409993041,y,1,0.3281276000197977,None,38.22535969992168,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,green,0,g,1,1,17,6,39.07558059995063,,,,,,,,39.06107990001328,39.07558059995063,40.260393299977295,40.26042750000488,40.27508429996669,40.77515789994504,41.161965399980545,g,1,0.3820863999426365,None,40.27508429996669,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,blue,0,b,1,2,18,8,41.17510899994522,,,,,,,,41.163518099929206,41.17510899994522,42.36026149999816,42.36029520002194,42.37493109994102,42.8748607999878,43.243589199963026,b,1,0.36360520008020103,None,42.37493109994102,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,blue,1,b,1,3,19,2,43.25834439997561,,,,,,,,43.24447889998555,43.25834439997561,44.44300369999837,44.44303620001301,44.45800220000092,44.957953099976294,45.22697479999624,b,1,0.2540794999804348,None,44.45800220000092,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,green,0,g,1,4,20,12,45.24124070000835,,,,,,,,45.22832290001679,45.24124070000835,46.42723649996333,46.42727119999472,46.44091679994017,46.94111959997099,47.17613449995406,g,1,0.23067139997147024,None,46.44091679994017,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,red,1,r,1,5,21,0,47.19099139992613,,,,,,,,47.177233599941246,47.19099139992613,48.37567280000076,48.37570350000169,48.39090290002059,48.89073089999147,49.00898679997772,r,1,0.11052360001485795,None,48.39090290002059,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
